TransactionID,AccountID,CustomerID,BranchID,TransactionDate,DateKey,TransactionTypeID,TransactionType,Direction,Channel,Amount,BalanceBefore,BalanceAfter
1,1,100000001,42,2025-09-01,20250901,3,ATM Cash Deposit,Credit,ATM,31495.0,0.0,31495.0
2,1,100000001,42,2025-09-18,20250918,7,Inter-bank Transfer In,Credit,NIP,59878.0,31495.0,91373.0
3,1,100000001,42,2025-09-19,20250919,5,Intra-bank Transfer In,Credit,Internal Banking,1851.0,91373.0,93224.0
4,1,100000001,42,2025-09-25,20250925,17,Airtime Purchase,Debit,Mobile App,46253.0,93224.0,46971.0
5,1,100000001,42,2025-09-07,20250907,20,Cable TV Subscription,Debit,Mobile App,22559.0,46971.0,24412.0
6,1,100000001,42,2025-09-04,20250904,3,ATM Cash Deposit,Credit,ATM,13676.0,24412.0,38088.0
7,1,100000001,42,2025-09-15,20250915,38,Savings Interest Credit,Credit,Core Banking,19.04,38088.0,38107.04
8,1,100000001,42,2025-09-15,20250915,34,SMS Alert Fee,Debit,Core Banking,4.0,38107.04,38103.04
9,1,100000001,42,2025-10-04,20251004,20,Cable TV Subscription,Debit,Mobile App,25307.0,38103.04,12796.04
10,1,100000001,42,2025-10-19,20251019,1,Cash Deposit,Credit,Branch,46466.0,12796.04,59262.04
11,1,100000001,42,2025-10-02,20251002,12,POS Purchase,Debit,POS,19965.0,59262.04,39297.04
12,1,100000001,42,2025-10-03,20251003,18,Data Purchase,Debit,Mobile App,7119.0,39297.04,32178.04
13,1,100000001,42,2025-10-13,20251013,5,Intra-bank Transfer In,Credit,Internal Banking,84320.0,32178.04,116498.04000000001
14,1,100000001,42,2025-10-12,20251012,1,Cash Deposit,Credit,Branch,149973.0,116498.04,266471.04
15,1,100000001,42,2025-10-23,20251023,19,Electricity Bill,Debit,Mobile App,42969.0,266471.04,223502.03999999998
16,1,100000001,42,2025-10-03,20251003,12,POS Purchase,Debit,POS,12215.0,223502.04,211287.04
17,1,100000001,42,2025-10-18,20251018,13,Online Card Purchase,Debit,Card Network,23417.0,211287.04,187870.04
18,1,100000001,42,2025-10-15,20251015,7,Inter-bank Transfer In,Credit,NIP,84886.0,187870.04,272756.04000000004
19,1,100000001,42,2025-10-11,20251011,17,Airtime Purchase,Debit,Mobile App,4165.0,272756.04,268591.04
20,1,100000001,42,2025-10-08,20251008,17,Airtime Purchase,Debit,Mobile App,21173.0,268591.04,247418.03999999998
21,1,100000001,42,2025-10-13,20251013,5,Intra-bank Transfer In,Credit,Internal Banking,28653.0,247418.04,276071.04000000004
22,1,100000001,42,2025-10-30,20251030,19,Electricity Bill,Debit,Mobile App,47549.0,276071.04,228522.03999999998
23,1,100000001,42,2025-10-11,20251011,1,Cash Deposit,Credit,Branch,271740.0,228522.04,500262.04000000004
24,1,100000001,42,2025-10-13,20251013,18,Data Purchase,Debit,Mobile App,42629.0,500262.04,457633.04
25,1,100000001,42,2025-10-15,20251015,2,Cash Withdrawal,Debit,Branch,19301.0,457633.04,438332.04
26,1,100000001,42,2025-10-08,20251008,13,Online Card Purchase,Debit,Card Network,72644.0,438332.04,365688.04
27,1,100000001,42,2025-10-09,20251009,13,Online Card Purchase,Debit,Card Network,58155.0,365688.04,307533.04
28,1,100000001,42,2025-10-29,20251029,8,Inter-bank Transfer Out,Debit,NIP,194790.0,307533.04,112743.03999999998
29,1,100000001,42,2025-10-29,20251029,11,Transfer Fee,Debit,Core Banking,50.0,112743.04,112693.04
30,1,100000001,42,2025-10-29,20251029,37,VAT on Charges,Debit,Core Banking,3.75,112693.04,112689.29
31,1,100000001,42,2025-10-08,20251008,22,Insurance Premium,Debit,Mobile App,19131.0,112689.29,93558.29
32,1,100000001,42,2025-10-02,20251002,18,Data Purchase,Debit,Mobile App,10516.0,93558.29,83042.29
33,1,100000001,42,2025-10-14,20251014,12,POS Purchase,Debit,POS,26216.0,83042.29,56826.28999999999
34,1,100000001,42,2025-10-13,20251013,38,Savings Interest Credit,Credit,Core Banking,28.41,56826.29,56854.700000000004
35,1,100000001,42,2025-10-13,20251013,34,SMS Alert Fee,Debit,Core Banking,4.0,56854.7,56850.7
36,1,100000001,42,2025-11-17,20251117,5,Intra-bank Transfer In,Credit,Internal Banking,73512.0,56850.7,130362.7
37,1,100000001,42,2025-11-28,20251128,19,Electricity Bill,Debit,Mobile App,45083.0,130362.7,85279.7
38,1,100000001,42,2025-11-24,20251124,3,ATM Cash Deposit,Credit,ATM,71381.0,85279.7,156660.7
39,1,100000001,42,2025-11-25,20251125,5,Intra-bank Transfer In,Credit,Internal Banking,85012.0,156660.7,241672.7
